,open,high,low,close,volume,value
2022-10-12 09:00:00,27339000.0,27523000.0,27255000.0,27460000.0,2101.42661527,57574795545.87141
2022-10-13 09:00:00,27460000.0,28063000.0,26400000.0,27810000.0,8203.95839502,222277657967.64612
2022-10-14 09:00:00,27808000.0,28539000.0,27500000.0,27660000.0,5280.08123901,148190762947.29398
2022-10-15 09:00:00,27656000.0,27722000.0,27410000.0,27524000.0,1863.65198088,51459862485.05421
2022-10-16 09:00:00,27548000.0,27900000.0,27502000.0,27655000.0,1613.23153145,44583425422.02929
2022-10-17 09:00:00,27655000.0,28200000.0,27526000.0,27993000.0,3325.59179617,92642089152.88167
2022-10-18 09:00:00,27995000.0,28180000.0,27530000.0,27812000.0,3645.54686846,101833511876.60257
2022-10-19 09:00:00,27824000.0,27825000.0,27536000.0,27657000.0,3160.61602939,87417949567.93259
2022-10-20 09:00:00,27639000.0,27800000.0,27400000.0,27505000.0,2683.2479925,73944127659.67822
2022-10-21 09:00:00,27505000.0,27700000.0,27130000.0,27580000.0,2767.62248007,76016880613.55505
2022-10-22 09:00:00,27600000.0,27700000.0,27547000.0,27620000.0,2036.10495024,56235951760.10317
2022-10-23 09:00:00,27620000.0,28152000.0,27484000.0,27981000.0,2722.16975796,75515642883.3644
2022-10-24 09:00:00,27981000.0,28077000.0,27663000.0,27803000.0,3125.3489913,87079836345.68925
2022-10-25 09:00:00,27803000.0,28844000.0,27621000.0,28494000.0,4893.20312894,137804124211.57245
2022-10-26 09:00:00,28494000.0,29447000.0,28470000.0,29079000.0,5979.87612062,173488898127.12695
2022-10-27 09:00:00,29116000.0,29238000.0,28530000.0,28590000.0,5172.49423341,149863792429.01614
2022-10-28 09:00:00,28590000.0,29183000.0,28350000.0,28958000.0,3424.86186466,98435976522.9078
2022-10-29 09:00:00,28932000.0,29497000.0,28910000.0,29091000.0,6211.37653974,181410545343.46017
2022-10-30 09:00:00,29091000.0,29350000.0,28902000.0,28957000.0,3137.06875888,91332005443.68755
2022-10-31 09:00:00,28957000.0,29217000.0,28580000.0,28778000.0,3780.01775723,109126492407.11536
2022-11-01 09:00:00,28778000.0,28928000.0,28634000.0,28749000.0,2933.71664252,84430214876.02364
2022-11-02 09:00:00,28753000.0,29299000.0,28500000.0,28632000.0,7547.86136867,217669276832.28488
2022-11-03 09:00:00,28632000.0,28900000.0,28443000.0,28693000.0,6757.69291375,194086875436.71292
2022-11-04 09:00:00,28685000.0,29679000.0,28683000.0,29388000.0,7964.11785191,231718138685.04376
2022-11-05 09:00:00,29388000.0,29870000.0,29304000.0,29756000.0,5550.07970205,164967206076.35477
2022-11-06 09:00:00,29756000.0,29869000.0,29400000.0,29473000.0,3135.46538779,93055406232.24623
2022-11-07 09:00:00,29470000.0,29658000.0,28790000.0,28945000.0,5212.34471889,152159017524.60736
2022-11-08 09:00:00,28945000.0,29020000.0,25842000.0,26650000.0,21680.49236147,594772236555.9027
2022-11-09 09:00:00,26652000.0,26832000.0,22564000.0,22919000.0,22296.85265068,552715932088.8374
2022-11-10 09:00:00,22924000.0,25120000.0,22840000.0,24779000.0,20710.2527776,498017206404.5683
2022-11-11 09:00:00,24779000.0,24928000.0,23000000.0,23656000.0,12736.12608371,303749422827.73645
2022-11-12 09:00:00,23657000.0,23755000.0,23061000.0,23380000.0,4753.99237337,111007195542.84412
2022-11-13 09:00:00,23380000.0,23515000.0,22500000.0,22510000.0,7169.9512786,164599384311.13092
2022-11-14 09:00:00,22511000.0,23438000.0,21509000.0,22701000.0,13460.02192864,301879477005.36584
2022-11-15 09:00:00,22706000.0,23220000.0,22530000.0,23003000.0,6064.33492986,139067228426.62408
2022-11-16 09:00:00,23003000.0,23162000.0,22550000.0,22954000.0,4821.31903186,110303866991.65161
2022-11-17 09:00:00,22954000.0,23039000.0,22613000.0,22982000.0,3192.69376433,72904673241.5205
2022-11-18 09:00:00,22982000.0,23330000.0,22900000.0,23061000.0,3545.61958418,81843191220.82385
2022-11-19 09:00:00,23062000.0,23197000.0,22928000.0,23081000.0,2254.61082489,51938225975.36801
2022-11-20 09:00:00,23082000.0,23128000.0,22651000.0,22788000.0,4008.06831163,92051907651.90707
2022-11-21 09:00:00,22763000.0,22810000.0,22000000.0,22220000.0,5410.35456693,121611325051.6873
2022-11-22 09:00:00,22220000.0,22719000.0,22031000.0,22584000.0,4830.10682581,107901365116.02403
2022-11-23 09:00:00,22599000.0,23121000.0,22525000.0,22985000.0,4524.89351291,103606008888.91022
2022-11-24 09:00:00,22985000.0,23220000.0,22566000.0,22738000.0,4151.70054394,94860806308.04427
2022-11-25 09:00:00,22735000.0,22794000.0,22370000.0,22676000.0,3000.13344954,67806317145.13777
2022-11-26 09:00:00,22677000.0,22862000.0,22605000.0,22660000.0,2148.77580606,48865893597.60411
2022-11-27 09:00:00,22646000.0,22774000.0,22605000.0,22646000.0,1989.05113784,45175559593.41976
2022-11-28 09:00:00,22661000.0,22690000.0,22217000.0,22339000.0,3579.0905705,80214477852.49315
2022-11-29 09:00:00,22329000.0,22617000.0,22155000.0,22417000.0,2523.90821039,56647764932.03546
2022-11-30 09:00:00,22417000.0,23293000.0,22415000.0,23192000.0,4690.57520524,107572115829.88625
2022-12-01 09:00:00,23209000.0,23400000.0,22871000.0,23002000.0,3278.51519679,75761071316.25665
2022-12-02 09:00:00,23008000.0,23046000.0,22650000.0,22877000.0,2707.54917012,61755977181.29832
2022-12-03 09:00:00,22877000.0,22973000.0,22752000.0,22830000.0,1361.73087278,31071194370.80245
2022-12-04 09:00:00,22821000.0,23021000.0,22755000.0,22906000.0,1690.07399271,38661404072.01502
2022-12-05 09:00:00,22918000.0,23150000.0,22685000.0,22725000.0,3649.93086302,83776335468.46335
2022-12-06 09:00:00,22729000.0,22885000.0,22701000.0,22821000.0,2826.97261012,64445480751.08888
2022-12-07 09:00:00,22837000.0,22898000.0,22400000.0,22544000.0,3381.14787642,76371819695.76631
2022-12-08 09:00:00,22544000.0,23000000.0,22484000.0,22918000.0,2658.30122236,60238648327.07826
2022-12-09 09:00:00,22918000.0,23000000.0,22770000.0,22849000.0,2349.72627368,53715032551.87096
2022-12-10 09:00:00,22845000.0,22940000.0,22820000.0,22831000.0,1339.76576612,30646589950.31205
2022-12-11 09:00:00,22824000.0,22915000.0,22760000.0,22775000.0,1591.84902453,36350568859.08237
2022-12-12 09:00:00,22784000.0,22882000.0,22487000.0,22824000.0,2436.29764131,55084524506.98965
2022-12-13 09:00:00,22824000.0,23600000.0,22570000.0,23161000.0,5226.52781477,120675670374.52821
2022-12-14 09:00:00,23182000.0,23941000.0,23147000.0,23235000.0,4041.5227297,94660482356.09254
2022-12-15 09:00:00,23255000.0,23382000.0,22877000.0,22942000.0,2875.73302095,66575698319.03985
2022-12-16 09:00:00,22952000.0,23050000.0,22125000.0,22249000.0,4660.97070297,105208954880.86823
2022-12-17 09:00:00,22249000.0,22367000.0,22000000.0,22230000.0,2908.95281168,64427612392.71
2022-12-18 09:00:00,22230000.0,22299000.0,22111000.0,22210000.0,1889.62079373,41937018170.19222
2022-12-19 09:00:00,22214000.0,22240000.0,21521000.0,21654000.0,3169.23383434,69541093991.05164
2022-12-20 09:00:00,21654000.0,22221000.0,21585000.0,22011000.0,3084.65713734,67692054188.20535
2022-12-21 09:00:00,22017000.0,22065000.0,21874000.0,21943000.0,2014.94764474,44278935561.9677
2022-12-22 09:00:00,21943000.0,21980000.0,21659000.0,21891000.0,2511.79402989,54875642301.51455
2022-12-23 09:00:00,21891000.0,22000000.0,21764000.0,21872000.0,2253.90628813,49294615581.36731
2022-12-24 09:00:00,21884000.0,21985000.0,21858000.0,21951000.0,1191.82030528,26154354236.02704
2022-12-25 09:00:00,21951000.0,21962000.0,21776000.0,21848000.0,2041.54109032,44679760075.21453
2022-12-26 09:00:00,21854000.0,21861000.0,21596000.0,21702000.0,2548.57785278,55317974480.44335
2022-12-27 09:00:00,21711000.0,21745000.0,21242000.0,21321000.0,2842.5245103,61104995860.59271
