timestamp,open,close,high,low,volume,datetime
1787002020000,90715000.0,90708000.0,90754000.0,90708000.0,0.17149146,2026-08-17 21:27:00
1787002200000,90745000.0,90755000.0,90755000.0,90703000.0,0.0397485,2026-08-17 21:30:00
1787002380000,90747000.0,90754000.0,90755000.0,90747000.0,0.04470104,2026-08-17 21:33:00
1787002560000,90747000.0,90745000.0,90754000.0,90726000.0,0.27581272,2026-08-17 21:36:00
1787002740000,90717000.0,90716000.0,90717000.0,90702000.0,0.03481597,2026-08-17 21:39:00
1787002920000,90716000.0,90711000.0,90743000.0,90699000.0,2.13553687,2026-08-17 21:42:00
1787003100000,90711000.0,90717000.0,90755000.0,90694000.0,0.57754331,2026-08-17 21:45:00
1787003280000,90750000.0,90746000.0,90759000.0,90716000.0,0.02589784,2026-08-17 21:48:00
1787003460000,90745000.0,90771000.0,90773000.0,90717000.0,0.1511308,2026-08-17 21:51:00
1787003640000,90771000.0,90752000.0,90771000.0,90735000.0,0.04062598,2026-08-17 21:54:00
1787003820000,90746000.0,90763000.0,90764000.0,90745000.0,0.03361359,2026-08-17 21:57:00
1787004000000,90763000.0,90774000.0,90796000.0,90752000.0,0.99676541,2026-08-17 22:00:00
1787004180000,90774000.0,90752000.0,90775000.0,90752000.0,0.61896972,2026-08-17 22:03:00
1787004360000,90768000.0,90724000.0,90768000.0,90722000.0,0.16678963,2026-08-17 22:06:00
1787004540000,90724000.0,90695000.0,90747000.0,90695000.0,0.18164303,2026-08-17 22:09:00
1787004720000,90720000.0,90695000.0,90720000.0,90684000.0,0.17904614,2026-08-17 22:12:00
1787004900000,90687000.0,90680000.0,90687000.0,90663000.0,0.45558415,2026-08-17 22:15:00
1787005080000,90680000.0,90658000.0,90680000.0,90658000.0,0.39830113,2026-08-17 22:18:00
1787005260000,90660000.0,90687000.0,90687000.0,90624000.0,2.16771401,2026-08-17 22:21:00
1787005440000,90687000.0,90677000.0,90695000.0,90663000.0,0.1866182,2026-08-17 22:24:00
1787005620000,90663000.0,90638000.0,90677000.0,90633000.0,0.34590778,2026-08-17 22:27:00
1787005800000,90629000.0,90670000.0,90680000.0,90618000.0,0.40097631,2026-08-17 22:30:00
1787005980000,90619000.0,90674000.0,90674000.0,90619000.0,0.02678214,2026-08-17 22:33:00
1787006160000,90667000.0,90690000.0,90690000.0,90656000.0,0.47070199,2026-08-17 22:36:00
1787006340000,90690000.0,90658000.0,90690000.0,90657000.0,0.17483601,2026-08-17 22:39:00
1787006520000,90658000.0,90658000.0,90658000.0,90638000.0,0.04484133,2026-08-17 22:42:00
1787006700000,90677000.0,90641000.0,90677000.0,90638000.0,0.09488991,2026-08-17 22:45:00
1787006880000,90641000.0,90658000.0,90658000.0,90635000.0,0.04535542,2026-08-17 22:48:00
1787007060000,90654000.0,90632000.0,90657000.0,90632000.0,0.15839657,2026-08-17 22:51:00
1787007240000,90650000.0,90655000.0,90655000.0,90628000.0,0.68445526,2026-08-17 22:54:00
1787007420000,90655000.0,90652000.0,90655000.0,90632000.0,0.13079893,2026-08-17 22:57:00
1787007600000,90652000.0,90655000.0,90655000.0,90620000.0,0.16651112,2026-08-17 23:00:00
1787007780000,90655000.0,90628000.0,90655000.0,90620000.0,0.58650545,2026-08-17 23:03:00
1787007960000,90628000.0,90686000.0,90686000.0,90625000.0,0.131976,2026-08-17 23:06:00
1787008140000,90690000.0,90701000.0,90701000.0,90690000.0,0.76825829,2026-08-17 23:09:00
1787008320000,90701000.0,90717000.0,90724000.0,90701000.0,0.33106897,2026-08-17 23:12:00
1787008500000,90717000.0,90734000.0,90737000.0,90716000.0,0.88972045,2026-08-17 23:15:00
1787008680000,90718000.0,90771000.0,90791000.0,90718000.0,0.79182585,2026-08-17 23:18:00
1787008860000,90771000.0,90771000.0,90782000.0,90771000.0,0.08452337,2026-08-17 23:21:00
1787009040000,90774000.0,90795000.0,90795000.0,90771000.0,0.15004098,2026-08-17 23:24:00
1787009220000,90795000.0,90841000.0,90844000.0,90795000.0,0.64255269,2026-08-17 23:27:00
1787009400000,90844000.0,90932000.0,90932000.0,90822000.0,1.77408366,2026-08-17 23:30:00
1787009580000,90931000.0,90886000.0,90937000.0,90886000.0,0.76396363,2026-08-17 23:33:00
1787009760000,90894000.0,90870000.0,90894000.0,90855000.0,0.34428698,2026-08-17 23:36:00
1787009940000,90870000.0,90870000.0,90905000.0,90857000.0,0.7559821,2026-08-17 23:39:00
1787010120000,90871000.0,90871000.0,90883000.0,90870000.0,0.15547852,2026-08-17 23:42:00
1787010300000,90883000.0,90871000.0,90883000.0,90871000.0,0.37968309,2026-08-17 23:45:00
1787010480000,90871000.0,90889000.0,90900000.0,90871000.0,0.34240899,2026-08-17 23:48:00
1787010660000,90889000.0,90946000.0,90953000.0,90888000.0,1.03675191,2026-08-17 23:51:00
1787010840000,90946000.0,90933000.0,90955000.0,90906000.0,0.10394699,2026-08-17 23:54:00
1787011020000,90955000.0,90970000.0,90979000.0,90948000.0,1.65124443,2026-08-17 23:57:00
1787011200000,90972000.0,90940000.0,90987000.0,90930000.0,1.88333993,2026-08-18 00:00:00
1787011380000,90930000.0,90897000.0,90940000.0,90897000.0,0.22247269,2026-08-18 00:03:00
1787011560000,90897000.0,90870000.0,90935000.0,90870000.0,3.38637848,2026-08-18 00:06:00
1787011740000,90870000.0,90862000.0,90876000.0,90855000.0,1.99239202,2026-08-18 00:09:00
1787011920000,90856000.0,90841000.0,90862000.0,90837000.0,0.8753768,2026-08-18 00:12:00
1787012100000,90837000.0,90803000.0,90837000.0,90803000.0,0.82191266,2026-08-18 00:15:00
1787012280000,90803000.0,90788000.0,90862000.0,90787000.0,0.64946014,2026-08-18 00:18:00
1787012460000,90788000.0,90848000.0,90857000.0,90785000.0,0.36468008,2026-08-18 00:21:00
1787012640000,90848000.0,90787000.0,90862000.0,90787000.0,0.52994363,2026-08-18 00:24:00
1787012820000,90787000.0,90787000.0,90830000.0,90785000.0,0.18891008,2026-08-18 00:27:00
1787013000000,90787000.0,90777000.0,90828000.0,90777000.0,0.53051827,2026-08-18 00:30:00
1787013180000,90787000.0,90771000.0,90795000.0,90769000.0,0.32864519,2026-08-18 00:33:00
1787013360000,90771000.0,90808000.0,90808000.0,90763000.0,0.24865849,2026-08-18 00:36:00
1787013540000,90785000.0,90727000.0,90808000.0,90727000.0,0.5307098,2026-08-18 00:39:00
1787013720000,90729000.0,90720000.0,90751000.0,90719000.0,0.24984012,2026-08-18 00:42:00
1787013900000,90719000.0,90711000.0,90744000.0,90700000.0,2.05625192,2026-08-18 00:45:00
1787014080000,90711000.0,90708000.0,90711000.0,90700000.0,0.19927486,2026-08-18 00:48:00
1787014260000,90700000.0,90693000.0,90710000.0,90693000.0,0.27083271,2026-08-18 00:51:00
