timestamp,open,close,high,low,volume,datetime
1735689600,4981000.0,5021000.0,5034000.0,4960000.0,22855.21646766,2025-01-01
1735776000,5021000.0,5132000.0,5194000.0,5008000.0,32248.60106402,2025-01-02
1735862400,5132000.0,5312000.0,5342000.0,5080000.0,33499.43117214,2025-01-03
1735948800,5313000.0,5382000.0,5408000.0,5276000.0,27146.70915723,2025-01-04
1736035200,5382000.0,5350000.0,5421000.0,5295000.0,19994.50780744,2025-01-05
1736121600,5350000.0,5413000.0,5472000.0,5320000.0,28745.06387996,2025-01-06
1736208000,5413000.0,5059000.0,5433000.0,5023000.0,49827.86162171,2025-01-07
1736294400,5060000.0,4985000.0,5114000.0,4897000.0,54649.32004664,2025-01-08
1736380800,4986000.0,4864000.0,5028000.0,4810000.0,39961.59546364,2025-01-09
1736467200,4865000.0,4915000.0,5009000.0,4854000.0,30858.62295268,2025-01-10
1736553600,4914000.0,4915000.0,4967000.0,4862000.0,17682.51073335,2025-01-11
1736640000,4915000.0,4909000.0,4950000.0,4857000.0,16640.31257341,2025-01-12
1736726400,4910000.0,4717000.0,4989000.0,4550000.0,82269.66404162,2025-01-13
1736812800,4719000.0,4791000.0,4850000.0,4691000.0,36715.55013156,2025-01-14
1736899200,4793000.0,5057000.0,5096000.0,4716000.0,59689.32080063,2025-01-15
1736985600,5056000.0,4858000.0,5069000.0,4831000.0,66876.4626488,2025-01-16
1737072000,4858000.0,5085000.0,5171000.0,4853000.0,59111.25787492,2025-01-17
1737158400,5084000.0,4929000.0,5150000.0,4854000.0,82796.72095787,2025-01-18
1737244800,4930000.0,4892000.0,5200000.0,4789000.0,177220.5764157,2025-01-19
1737331200,4890000.0,4923000.0,5150000.0,4814000.0,123607.25604223,2025-01-20
1737417600,4923000.0,4939000.0,4983000.0,4835000.0,57265.7234037,2025-01-21
1737504000,4939000.0,4846000.0,4986000.0,4829000.0,36064.7041644,2025-01-22
1737590400,4847000.0,4976000.0,4990000.0,4780000.0,50947.62522375,2025-01-23
1737676800,4979000.0,4968000.0,5093000.0,4890000.0,52225.07879733,2025-01-24
1737763200,4969000.0,4985000.0,5017000.0,4920000.0,18641.27383917,2025-01-25
1737849600,4985000.0,4923000.0,5033000.0,4914000.0,22205.55327073,2025-01-26
1737936000,4924000.0,4835000.0,4950000.0,4700000.0,62266.31673199,2025-01-27
1738022400,4835000.0,4741000.0,4879000.0,4710000.0,29747.18416335,2025-01-28
1738108800,4742000.0,4776000.0,4839000.0,4732000.0,22500.52857446,2025-01-29
1738195200,4776000.0,4898000.0,4962000.0,4754000.0,34359.52096114,2025-01-30
1738281600,4898000.0,5042000.0,5188000.0,4886000.0,61921.58487457,2025-01-31
